bloc,party,issue_name,matched_rows,issue_weight_sum,unique_speakers,emphasis_within,source
더불어민주당,새정치국민회의,foreign_policy,31,16.2,16,0.02271930439660613,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,gender_generation,27,11.549999999999999,12,0.016198022579061777,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,unification_event,19,9.25,12,0.012972442325222636,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,housing,18,7.1,12,0.009957226000981699,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,gaffe_event,8,5.05,7,0.007082252296472898,15th_assembly_issue_phrase_extraction
더불어민주당,새정치국민회의,withdrawal_event,8,4.1,7,0.0057499474090176,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,economy_growth,35,22.3,8,0.11389172625127683,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,corruption_integrity,32,20.599999999999998,6,0.10520939734422881,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,external_shock,21,18.55,7,0.09473953013278857,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,security_nk,37,17.5,7,0.08937691521961186,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,welfare_pension,33,17.15,7,0.08758937691521962,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,foreign_policy,21,15.8,5,0.08069458631256385,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,jobs_labor,24,12.299999999999999,7,0.06281920326864147,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,regional_dev,23,10.4,7,0.05311542390194076,15th_assembly_issue_phrase_extraction
더불어민주당,새천년민주당,education,23,9.1,6,0.04647599591419816,15th_assembly_issue_phrase_extraction
